IDS_PROPMOVER_TXT_000000	Default
IDS_PROPMOVER_TXT_000001	
IDS_PROPMOVER_TXT_000002	Männlich
IDS_PROPMOVER_TXT_000003	
IDS_PROPMOVER_TXT_000004	Weiblich
IDS_PROPMOVER_TXT_000005	
IDS_PROPMOVER_TXT_000006	Small Aibatt
IDS_PROPMOVER_TXT_000007	
IDS_PROPMOVER_TXT_000008	Aibatt
IDS_PROPMOVER_TXT_000009	
IDS_PROPMOVER_TXT_000010	Captain Aibatt
IDS_PROPMOVER_TXT_000011	
IDS_PROPMOVER_TXT_000012	Giant Aibatt
IDS_PROPMOVER_TXT_000013	
IDS_PROPMOVER_TXT_000014	Small Mushpang
IDS_PROPMOVER_TXT_000015	
IDS_PROPMOVER_TXT_000016	Mushpang
IDS_PROPMOVER_TXT_000017	
IDS_PROPMOVER_TXT_000018	Captain Mushpang
IDS_PROPMOVER_TXT_000019	
IDS_PROPMOVER_TXT_000020	Giant Mushpang
IDS_PROPMOVER_TXT_000021	
IDS_PROPMOVER_TXT_000022	Small Burudeng
IDS_PROPMOVER_TXT_000023	
IDS_PROPMOVER_TXT_000024	Burudeng
IDS_PROPMOVER_TXT_000025	
IDS_PROPMOVER_TXT_000026	Captain Burudeng
IDS_PROPMOVER_TXT_000027	
IDS_PROPMOVER_TXT_000028	Giant Burudeng
IDS_PROPMOVER_TXT_000029	
IDS_PROPMOVER_TXT_000030	Small Pukepuke
IDS_PROPMOVER_TXT_000031	
IDS_PROPMOVER_TXT_000032	Pukepuke
IDS_PROPMOVER_TXT_000033	
IDS_PROPMOVER_TXT_000034	Captain Pukepuke
IDS_PROPMOVER_TXT_000035	
IDS_PROPMOVER_TXT_000036	Giant Pukepuke
IDS_PROPMOVER_TXT_000037	
IDS_PROPMOVER_TXT_000038	Small Peakyturtle
IDS_PROPMOVER_TXT_000039	
IDS_PROPMOVER_TXT_000040	Peakyturtle
IDS_PROPMOVER_TXT_000041	
IDS_PROPMOVER_TXT_000042	Captain Peakyturtle
IDS_PROPMOVER_TXT_000043	
IDS_PROPMOVER_TXT_000044	Giant Peakyturtle
IDS_PROPMOVER_TXT_000045	
IDS_PROPMOVER_TXT_000046	Young Demian
IDS_PROPMOVER_TXT_000047	
IDS_PROPMOVER_TXT_000048	Demian
IDS_PROPMOVER_TXT_000049	
IDS_PROPMOVER_TXT_000050	Bad Demian
