IDS_PROPQUEST_INC_000000	Event
IDS_PROPQUEST_INC_000001	1. Job Change
IDS_PROPQUEST_INC_000002	2. Job Change
IDS_PROPQUEST_INC_000003	Dungeon
IDS_PROPQUEST_INC_000004	General
IDS_PROPQUEST_INC_000005	Beförderung zum Mercenary
IDS_PROPQUEST_INC_000006	Nachdem ich Juria erklärt habe, dass ich ein Mercenary sein möchte, schickt sie mich los, um Valin zu finden. Er lebt ausserhalb der Stadt. Sie sah in in der Nähe vom Nord-West Ausgang der Stadt.
IDS_PROPQUEST_INC_000007	
IDS_PROPQUEST_INC_000008	
IDS_PROPQUEST_INC_000009	Wenn ich mit Loshas Mittagessen zurück komme, könnte sie mir etwas Schönes geben.
IDS_PROPQUEST_INC_000010	
IDS_PROPQUEST_INC_000011	
IDS_PROPQUEST_INC_000012	Mittagessen von Losha annehmen. Es sieht köstlich aus.
IDS_PROPQUEST_INC_000013	
IDS_PROPQUEST_INC_000014	
IDS_PROPQUEST_INC_000015	Ich habe dir gesagt, du sollst Blade Bravery von Boboko besorgen. Du benötigst es, um Sword Bravery herzustellen. Ich sollte zurück in die Stadt gehen.
IDS_PROPQUEST_INC_000016	
IDS_PROPQUEST_INC_000017	
IDS_PROPQUEST_INC_000018	Boboko erzählt mir, um das Sword Bravery herzustellen, braucht er Vision Stones. Die kann man bei den Grownup Lawolf finden. Sie wurden zuletzt im nördlichen Gebirge der Stadt gesehen.
IDS_PROPQUEST_INC_000019	
IDS_PROPQUEST_INC_000020	
IDS_PROPQUEST_INC_000021	Ich sollte mit dem Sword Bravery zurück zu Valin gehen. Dann werde ich Mercenary.
IDS_PROPQUEST_INC_000022	
IDS_PROPQUEST_INC_000023	
IDS_PROPQUEST_INC_000024	Ich bin Mercenary geworden. Ich sollte zurück in die Stadt gehen, um mich etwas auszurüsten.
IDS_PROPQUEST_INC_000025	
IDS_PROPQUEST_INC_000026	
IDS_PROPQUEST_INC_000027	Beförderung zum Assist
IDS_PROPQUEST_INC_000028	Nachdem ich Juria erzählt habe, dass ich ein Assist sein möchte, schickt sie mich los um Rooney zu finden. Er lebt ausserhalb der Stadt. Ich sollte entlang der Straße nach ihm Ausschau halten.
IDS_PROPQUEST_INC_000029	
IDS_PROPQUEST_INC_000030	
IDS_PROPQUEST_INC_000031	Rooney bittet dich einen Brief zu Lui zu bringen, der sein Bruder ist.
IDS_PROPQUEST_INC_000032	
IDS_PROPQUEST_INC_000033	
IDS_PROPQUEST_INC_000034	Lui bittet mich, seine Antwort zurück zu seinem Bruder Rooney zu bringen.
IDS_PROPQUEST_INC_000035	
IDS_PROPQUEST_INC_000036	
IDS_PROPQUEST_INC_000037	Nach dem Lesen des Briefs von Lui war er erfreut und hat mir die letzte Aufgabe gegeben: Sammle 10 Luxos Stone von Pukepukes, 5 Lumix Stone von kleinen Doridoma und 3 Lux Stone von Grownup Lawolfs!
IDS_PROPQUEST_INC_000038	
IDS_PROPQUEST_INC_000039	
IDS_PROPQUEST_INC_000040	Ich bin Assist geworden. Ich sollte zurück in die Stadt gehen, um mich etwas auszurüsten.
IDS_PROPQUEST_INC_000041	
IDS_PROPQUEST_INC_000042	
IDS_PROPQUEST_INC_000043	Beförderung zum Magician
IDS_PROPQUEST_INC_000044	Nachdem ich Juria erklärt habe, dass ich ein Magician sein möchte, schickt sie mich los, um Mule zu finden. Er lebt ausserhalb der Stadt. Sie sah in in der Nähe vom Nord-Ost Ausgang der Stadt.
IDS_PROPQUEST_INC_000045	
IDS_PROPQUEST_INC_000046	
IDS_PROPQUEST_INC_000047	Mule bittet mich, ihm das Buch: Book of Mule zu besorgen. Marche hat es zur Zeit.
IDS_PROPQUEST_INC_000048	
