IDS_TEXTCLIENT_INC_000001	Karte
IDS_TEXTCLIENT_INC_000002	Nachricht senden
IDS_TEXTCLIENT_INC_000003	Nachricht empfangen
IDS_TEXTCLIENT_INC_000004	Charakter
IDS_TEXTCLIENT_INC_000005	Inventar
IDS_TEXTCLIENT_INC_000006	Shop
IDS_TEXTCLIENT_INC_000007	Skill
IDS_TEXTCLIENT_INC_000008	Makro
IDS_TEXTCLIENT_INC_000009	Style
IDS_TEXTCLIENT_INC_000010	Motion
IDS_TEXTCLIENT_INC_000011	Emotion
IDS_TEXTCLIENT_INC_000012	Handel
IDS_TEXTCLIENT_INC_000013	Quest Tagebuch
IDS_TEXTCLIENT_INC_000014	PvP
IDS_TEXTCLIENT_INC_000015	Freunde
IDS_TEXTCLIENT_INC_000016	Party
IDS_TEXTCLIENT_INC_000017	Gilde
IDS_TEXTCLIENT_INC_000018	Club
IDS_TEXTCLIENT_INC_000019	Chat Fenster
IDS_TEXTCLIENT_INC_000020	Nachricht
IDS_TEXTCLIENT_INC_000021	Messenger
IDS_TEXTCLIENT_INC_000022	EMail
IDS_TEXTCLIENT_INC_000023	BBS
IDS_TEXTCLIENT_INC_000024	Benutzersuche
IDS_TEXTCLIENT_INC_000025	Gilden Suche
IDS_TEXTCLIENT_INC_000026	Club Suche
IDS_TEXTCLIENT_INC_000027	Shop Suche
IDS_TEXTCLIENT_INC_000028	Video/Audio Setting
IDS_TEXTCLIENT_INC_000029	Audio Setting
IDS_TEXTCLIENT_INC_000030	BGM Setting
IDS_TEXTCLIENT_INC_000031	Passwort ändern
IDS_TEXTCLIENT_INC_000032	Window Effect
IDS_TEXTCLIENT_INC_000033	Wortfilter einstellen
IDS_TEXTCLIENT_INC_000034	Mausempfindlichkeit
IDS_TEXTCLIENT_INC_000035	Meine Details
IDS_TEXTCLIENT_INC_000036	Hotkey
IDS_TEXTCLIENT_INC_000037	Theme
IDS_TEXTCLIENT_INC_000038	Optionen
IDS_TEXTCLIENT_INC_000039	Game Option
IDS_TEXTCLIENT_INC_000040	Ankündigung
IDS_TEXTCLIENT_INC_000041	Event Information
IDS_TEXTCLIENT_INC_000042	Version
IDS_TEXTCLIENT_INC_000043	Entwicklungsplan
IDS_TEXTCLIENT_INC_000044	Hilfe
IDS_TEXTCLIENT_INC_000045	Tipps
IDS_TEXTCLIENT_INC_000046	FAQ
IDS_TEXTCLIENT_INC_000047	Vote
IDS_TEXTCLIENT_INC_000048	Am Event teilnehmen
IDS_TEXTCLIENT_INC_000049	Screenshot
IDS_TEXTCLIENT_INC_000050	Ausloggen
IDS_TEXTCLIENT_INC_000051	Beenden
IDS_TEXTCLIENT_INC_000052	Startleiste
IDS_TEXTCLIENT_INC_000053	Applet
IDS_TEXTCLIENT_INC_000054	Verwaltungsfunktionen
IDS_TEXTCLIENT_INC_000055	Welt
IDS_TEXTCLIENT_INC_000056	Dialog
IDS_TEXTCLIENT_INC_000057	Debug
IDS_TEXTCLIENT_INC_000058	Status
IDS_TEXTCLIENT_INC_000059	Control Test
IDS_TEXTCLIENT_INC_000060	Community
IDS_TEXTCLIENT_INC_000061	Kommunikation
IDS_TEXTCLIENT_INC_000062	Suche
IDS_TEXTCLIENT_INC_000063	Optionen
IDS_TEXTCLIENT_INC_000064	Information
IDS_TEXTCLIENT_INC_000065	Helfer
IDS_TEXTCLIENT_INC_000066	Beitreten
IDS_TEXTCLIENT_INC_000067	Etc
IDS_TEXTCLIENT_INC_000068	Premium Items
IDS_TEXTCLIENT_INC_000069	Flyff Shop
IDS_TEXTCLIENT_INC_000070	Haltbarkeit
IDS_TEXTCLIENT_INC_000071	Die Karte ist eine Mini-Ansicht der Umgebung, die dir bei deiner Reise helfen soll.
IDS_TEXTCLIENT_INC_000072	Hier siehst du deine Charakterinformationen.
IDS_TEXTCLIENT_INC_000073	Hier siehst du alle Items, die dein Charakter mit sich trägt.
IDS_TEXTCLIENT_INC_000074	Erlaubt es dir einen Shop zu eröffnen.
IDS_TEXTCLIENT_INC_000075	Du kannst deine Skills verwenden.
IDS_TEXTCLIENT_INC_000076	Hier kannst du Shortcuts für Kommandos oder Texte eintragen.
IDS_TEXTCLIENT_INC_000077	Was ist dein Style?
